,Woord,Lidwoord,Stapel,Punten,Geschiedenis
402,stof (materie),de,Platina,20,G
407,structuur,de,Platina,20,G
352,regen,de,Platina,20,G
269,moment,het,Platina,6,GG
366,ruimte,de,Platina,20,G
460,vijf,de,Platina,20,G
426,tennis,de,Platina,-90,FG
35,beroep,het,Platina,20,G
412,suiker,de,Platina,20,G
148,helft,de,Platina,20,G
264,midden,het,Platina,20,G
177,kaartje,het,Platina,20,G
385,sok,de,Platina,20,G
356,restaurant,het,Platina,20,G
178,kaas,de,Platina,20,G
216,lach,de,Platina,20,G
81,draad,de,Platina,20,G
222,leerling,de,Platina,20,G
281,net,het,Platina,20,G
109,geld,het,Platina,20,G
