,Woord,Lidwoord,Stapel,Punten,Geschiedenis
5,acht,de,Platina,6,GGG
527,zwak,het,Platina,6,GGG
281,net,het,Platina,6,GGG
55,brood,het,Platina,6,GGG
243,maan,de,Platina,6,GGG
82,druk,de,Platina,6,GGG
463,vis,de,Platina,6,GGG
54,broer,de,Platina,6,GGG
278,natuur,de,Platina,6,GGG
345,provincie,de,Platina,6,GGG
471,voetbal,de,Platina,6,GGG
242,maaltijd,de,Platina,6,GGG
330,plant,de,Platina,6,GGG
186,kat,de,Platina,6,GGG
414,taart,de,Platina,6,GGG
221,leeftijd,de,Platina,6,GGG
190,kind,het,Platina,8,GGGG
488,was,de,Platina,6,GGG
374,schreeuw,de,Platina,6,GGG
103,gebeurtenis,de,Platina,6,GGG
